Маршрут: Москва -> Санкт-Петербург, 700 км
  Воздушный транспорт (Самолет): время 0.88 ч, стоимость 3500.00
  Железнодорожный транспорт (Поезд): время 7.00 ч, стоимость 700.00
  Автомобильный транспорт (Автомобиль): время 11.67 ч, стоимость 350.00
  -> Быстрый вариант: Воздушный транспорт (Самолет), время 0.88 ч
  -> Дешевый вариант: Автомобильный транспорт (Автомобиль), стоимость 350.00

Маршрут: Москва -> Казань, 800 км
  Воздушный транспорт (Самолет): время 1.00 ч, стоимость 4000.00
  Железнодорожный транспорт (Поезд): время 8.00 ч, стоимость 800.00
  Автомобильный транспорт (Автомобиль): время 13.33 ч, стоимость 400.00
  -> Быстрый вариант: Воздушный транспорт (Самолет), время 1.00 ч
  -> Дешевый вариант: Автомобильный транспорт (Автомобиль), стоимость 400.00

Маршрут: Санкт-Петербург -> Казань, 1300 км
  Воздушный транспорт (Самолет): время 1.62 ч, стоимость 6500.00
  Железнодорожный транспорт (Поезд): время 13.00 ч, стоимость 1300.00
  Автомобильный транспорт (Автомобиль): время 21.67 ч, стоимость 650.00
  -> Быстрый вариант: Воздушный транспорт (Самолет), время 1.62 ч
  -> Дешевый вариант: Автомобильный транспорт (Автомобиль), стоимость 650.00
